state,;,.,program,identifier,(,),constant,constant-definition,var,:,begin,end,integer,real,boolean,string,",",:=,writeln,number,readln,repeat-stateexpressionment,while,do,repeat,until,for,to,downto,if,then,else,+,-,not,=,<>,<,<=,>,>=,or,*,/,div,mod,and,$,programa',programa,program-heading,opt-program-parameters,program-parameters,program-block,constant-declaration-part,more-constant-definition,variable-declaration-part,more-variable-declaration,variable-declaration,statement-part,type,identifier-list,more-identifier,statement-sequence,more-statement,statement,simple-statement,assignment-statement,IO-statement,writeln-statement,opt-element-list,element-list,more-element,element,readln-statement,opt-identifier-list,structured-statement,compound-statement,repetitive-statement,while-statement,repeat-statement,for-statement,to-downto,conditional-statement,opt-else,expression,opt-rel-expression,simple-expression,opt-sign,more-add-term,term,more-mult-term,factor,relational-operator,addition-operator,multiplication-operator
100,,,,,,r42,,,,,,,,,,,r42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,,,,,,r43,,,,,,,,,,,r43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,,,,,,s128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,r31,,,s35,,,,,,,s38,r31,,,,,,,s43,,s44,s40,s45,,,r31,s46,,,s42,,r31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129,28,30,31,36,,,,,37,,29,32,33,39,,41,,34,,,,,,,,,,,,
104,,,,r68,r68,,,,,,,,,,,r68,,,,r68,,,,,,,,,,,,,s60,s61,r68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130,,58,59,,,,,,,
105,,,,s17,,,,,,,r14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131,68,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,,r9,,,,,,,r9,,r9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,,,,,,,,,,,,r25,,,,,,,,,,,,,,r25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,r50,,,,,,,,,,,r50,,,,,,,,,,,,,,r50,,,,,,r50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,r61,,,,,,,,,,,r61,,,,,,,,,,,,,,r61,,,,,,s133 / r61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132,,,,,,,,,,,
